turns,responses,turn_1_prompt,turn_1_instruction_id_list,turn_1_kwargs,turn_2_prompt,turn_2_instruction_id_list,turn_2_kwargs,turn_3_prompt,turn_3_instruction_id_list,turn_3_kwargs,key,turn_index,language
,,"{""role"": ""user"", ""content"": ""Given the sentence \""Two young boys with toy guns and horns.\"" can you ask a question? Please ensure that your response is in English, and in all lowercase letters. No capital letters are allowed.""}","[""change_case:english_lowercase""]","[""{}""]","{""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""what are they doing?\"" No other words should follow this phrase.""}","[""change_case:english_lowercase"", ""startend:end_checker""]","[""{}"", ""{\""end_phrase\"": \""what are they doing?\""}""]","{""role"": ""user"", ""content"": ""The result should contain at least 801 words.""}","[""change_case:english_lowercase"", ""startend:end_checker"", ""length_constraints:number_words""]","[""{}"", ""{\""end_phrase\"": \""what are they doing?\""}"", ""{\""relation\"": \""at least\"", \""num_words\"": 801}""]",1019:16:en,0,English
,,"{""role"": ""user"", ""content"": ""Write a 2 paragraph critique of the following sentence in all capital letters, no lowercase letters allowed: \""If the law is bad, you should not follow it\"". Label each paragraph with PARAGRAPH X.""}","[""change_case:english_capital"", ""detectable_format:multiple_sections""]","[""{}"", ""{\""section_spliter\"": \""PARAGRAPH\"", \""num_sections\"": 2}""]","{""role"": ""user"", ""content"": ""The text should contain a postscript marker, specifically the phrase \""P.S.\"", which indicates additional information or a final thought.""}","[""change_case:english_capital"", ""detectable_format:multiple_sections"", ""detectable_content:postscript""]","[""{}"", ""{\""section_spliter\"": \""PARAGRAPH\"", \""num_sections\"": 2}"", ""{\""postscript_marker\"": \""P.S.\""}""]","{""role"": ""user"", ""content"": ""Your response should include the following keywords: justice, government, consequences.""}","[""change_case:english_capital"", ""detectable_format:multiple_sections"", ""detectable_content:postscript"", ""keywords:existence""]","[""{}"", ""{\""section_spliter\"": \""PARAGRAPH\"", \""num_sections\"": 2}"", ""{\""postscript_marker\"": \""P.S.\""}"", ""{\""keywords\"": [\""justice\"", \""government\"", \""consequences\""]}""]",1021:3:en,0,English
,,"{""role"": ""user"", ""content"": ""Given the sentence \""Two young boys with toy guns and horns.\"" can you ask a question? Please ensure that your response is in English, and in all lowercase letters. No capital letters are allowed.""}","[""change_case:english_lowercase""]","[""{}""]","{""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}","[""change_case:english_lowercase"", ""detectable_format:title""]","[""{}"", ""{}""]","{""role"": ""user"", ""content"": ""Wrap your whole response with double quotation marks.""}","[""change_case:english_lowercase"", ""detectable_format:title"", ""startend:quotation""]","[""{}"", ""{}"", ""{}""]",1019:15:en,0,English
,,"{""role"": ""user"", ""content"": ""Write me a resume for Matthias Algiers. Use words with all capital letters to highlight key abilities, but make sure that words with all capital letters appear less than 10 times. Wrap the entire response with double quotation marks.""}","[""change_case:capital_word_frequency"", ""change_case:capital_word_frequency"", ""startend:quotation""]","[""{\""capital_relation\"": \""less than\"", \""capital_frequency\"": 10}"", ""{\""capital_relation\"": \""at least\"", \""capital_frequency\"": 1}"", ""{}""]","{""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}","[""change_case:capital_word_frequency"", ""change_case:capital_word_frequency"", ""startend:quotation"", ""detectable_format:title""]","[""{\""capital_relation\"": \""less than\"", \""capital_frequency\"": 10}"", ""{\""capital_relation\"": \""at least\"", \""capital_frequency\"": 1}"", ""{}"", ""{}""]","{""role"": ""user"", ""content"": ""The result should contain exactly 6 paragraphs. The paragraphs should be separated by the markdown divider: ***.""}","[""change_case:capital_word_frequency"", ""change_case:capital_word_frequency"", ""startend:quotation"", ""detectable_format:title"", ""length_constraints:number_paragraphs""]","[""{\""capital_relation\"": \""less than\"", \""capital_frequency\"": 10}"", ""{\""capital_relation\"": \""at least\"", \""capital_frequency\"": 1}"", ""{}"", ""{}"", ""{\""num_paragraphs\"": 6}""]",1040:5:en,0,English
,,"{""role"": ""user"", ""content"": ""Write me a resume for Matthias Algiers. Use words with all capital letters to highlight key abilities, but make sure that words with all capital letters appear less than 10 times. Wrap the entire response with double quotation marks.""}","[""change_case:capital_word_frequency"", ""change_case:capital_word_frequency"", ""startend:quotation""]","[""{\""capital_relation\"": \""less than\"", \""capital_frequency\"": 10}"", ""{\""capital_relation\"": \""at least\"", \""capital_frequency\"": 1}"", ""{}""]","{""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}","[""change_case:capital_word_frequency"", ""change_case:capital_word_frequency"", ""startend:quotation"", ""detectable_format:title""]","[""{\""capital_relation\"": \""less than\"", \""capital_frequency\"": 10}"", ""{\""capital_relation\"": \""at least\"", \""capital_frequency\"": 1}"", ""{}"", ""{}""]","{""role"": ""user"", ""content"": ""Your response should not include the following words: bilingual, innovation, experience.""}","[""change_case:capital_word_frequency"", ""change_case:capital_word_frequency"", ""startend:quotation"", ""detectable_format:title"", ""keywords:forbidden_words""]","[""{\""capital_relation\"": \""less than\"", \""capital_frequency\"": 10}"", ""{\""capital_relation\"": \""at least\"", \""capital_frequency\"": 1}"", ""{}"", ""{}"", ""{\""forbidden_words\"": [\""bilingual\"", \""innovation\"", \""experience\""]}""]",1040:16:en,0,English
,,"{""role"": ""user"", ""content"": ""Write a letter to a friend in all lowercase letters ask them to go and vote.""}","[""change_case:english_lowercase""]","[""{}""]","{""role"": ""user"", ""content"": ""Your response should not include the following words: ballot, polling, candidate.""}","[""change_case:english_lowercase"", ""keywords:forbidden_words""]","[""{}"", ""{\""forbidden_words\"": [\""ballot\"", \""polling\"", \""candidate\""]}""]","{""role"": ""user"", ""content"": ""You should provide two responses. Separate your two responses with six asterisks (******)""}","[""change_case:english_lowercase"", ""keywords:forbidden_words"", ""combination:two_responses""]","[""{}"", ""{\""forbidden_words\"": [\""ballot\"", \""polling\"", \""candidate\""]}"", ""{}""]",1051:10:en,0,English
,,"{""role"": ""user"", ""content"": ""Write a letter to a friend in all lowercase letters ask them to go and vote.""}","[""change_case:english_lowercase""]","[""{}""]","{""role"": ""user"", ""content"": ""Your response should include the following keywords: choice, date, polling.""}","[""change_case:english_lowercase"", ""keywords:existence""]","[""{}"", ""{\""keywords\"": [\""choice\"", \""date\"", \""polling\""]}""]","{""role"": ""user"", ""content"": ""You should provide two responses. Separate your two responses with six asterisks (******)""}","[""change_case:english_lowercase"", ""keywords:existence"", ""combination:two_responses""]","[""{}"", ""{\""keywords\"": [\""choice\"", \""date\"", \""polling\""]}"", ""{}""]",1051:16:en,0,English
,,"{""role"": ""user"", ""content"": ""Write a detailed review of the movie \""The Social Network\"". Your entire response should be in English and all lower case (no capital letters whatsoever).""}","[""change_case:english_lowercase""]","[""{}""]","{""role"": ""user"", ""content"": ""The text should have at least two sections, with \""Section\"" used as the section divider.""}","[""change_case:english_lowercase"", ""detectable_format:multiple_sections""]","[""{}"", ""{\""section_spliter\"": \""Section\"", \""num_sections\"": 2}""]","{""role"": ""user"", ""content"": ""Your response should contain a postscript with the marker \""P.P.S\"".""}","[""change_case:english_lowercase"", ""detectable_format:multiple_sections"", ""detectable_content:postscript""]","[""{}"", ""{\""section_spliter\"": \""Section\"", \""num_sections\"": 2}"", ""{\""postscript_marker\"": \""P.P.S\""}""]",1087:3:en,0,English
,,"{""role"": ""user"", ""content"": ""Write a detailed review of the movie \""The Social Network\"". Your entire response should be in English and all lower case (no capital letters whatsoever).""}","[""change_case:english_lowercase""]","[""{}""]","{""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}","[""change_case:english_lowercase"", ""detectable_format:title""]","[""{}"", ""{}""]","{""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""overall, a compelling narrative on the complexities of ambition and the digital age.\"" No other words should follow this phrase.""}","[""change_case:english_lowercase"", ""detectable_format:title"", ""startend:end_checker""]","[""{}"", ""{}"", ""{\""end_phrase\"": \""overall, a compelling narrative on the complexities of ambition and the digital age.\""}""]",1087:18:en,0,English
,,"{""role"": ""user"", ""content"": ""Are hamburgers sandwiches? Please respond using only the Kannada language, no other language is allowed.""}","[""language:response_language""]","[""{\""language\"": \""kn\""}""]","{""role"": ""user"", ""content"": ""Your response should include the word \u0cb8\u0cb8\u0ccd\u0caf\u0cb9\u0cbe\u0cb0\u0cbf less than 3 times.""}","[""language:response_language"", ""keywords:frequency""]","[""{\""language\"": \""kn\""}"", ""{\""relation\"": \""less than\"", \""keyword\"": \""\\u0cb8\\u0cb8\\u0ccd\\u0caf\\u0cb9\\u0cbe\\u0cb0\\u0cbf\"", \""frequency\"": 3}""]","{""role"": ""user"", ""content"": ""You should provide two responses. Separate your two responses with six asterisks (******)""}","[""language:response_language"", ""keywords:frequency"", ""combination:two_responses""]","[""{\""language\"": \""kn\""}"", ""{\""relation\"": \""less than\"", \""keyword\"": \""\\u0cb8\\u0cb8\\u0ccd\\u0caf\\u0cb9\\u0cbe\\u0cb0\\u0cbf\"", \""frequency\"": 3}"", ""{}""]",1108:4:en,0,English
